swim,bike,run
19.5545,47.7140,32.7315
21.8642,46.6851,31.4507
18.1999,50.1591,31.6410
21.3442,48.0798,30.5761
20.9674,48.8996,30.1330
16.4427,49.3794,34.1779
19.0932,48.7657,32.1411
17.8307,51.4984,30.6708
18.4900,50.7264,30.7836
20.7107,49.0658,30.2235
20.5398,49.1999,30.2603
22.2596,49.5175,28.2229
19.1720,48.6744,32.1536
16.5449,52.7514,30.7037
19.4527,48.2451,32.3022
21.9531,45.7863,32.2606
17.7514,52.0272,30.2214
18.6429,51.2283,30.1288
20.7072,49.9037,29.3891
18.2237,50.5726,31.2037
17.0812,52.4215,30.4974
18.1115,50.0903,31.7982
18.5853,52.5485,28.8662
21.4900,49.1218,29.3882
20.5572,47.5694,31.8734
19.6544,49.9936,30.3519
20.5764,49.3833,30.0403
20.8511,44.6099,34.5390
23.5092,47.7757,28.7151
20.9117,46.3346,32.7538
23.0856,46.3971,30.5173
15.4771,51.1653,33.3576
23.0075,46.3084,30.6841
22.9591,46.4250,30.6158
20.9118,48.0749,31.0133
16.9350,51.9572,31.1077
22.1279,48.5497,29.3224
20.9280,47.3885,31.6835
19.4766,50.1661,30.3574
17.0909,50.5455,32.3636
19.2404,49.3730,31.3866
22.5759,47.7413,29.6829
23.2110,46.0885,30.7005
19.5952,48.0917,32.3131
22.0590,48.2665,29.6745
17.4378,48.1932,34.3690
21.0432,46.2118,32.7451
18.6851,50.6055,30.7093
19.6686,51.4213,28.9101
22.5267,47.5823,29.8910
18.1561,48.9778,32.8661
19.9808,50.8721,29.1471
21.5893,48.5226,29.8881
19.4702,47.9092,32.6206
18.6276,48.7887,32.5837
21.5206,44.2950,34.1844
21.1725,46.8453,31.9821
20.2621,47.4727,32.2652
20.1783,49.1495,30.6722
21.8581,46.1889,31.9529
22.3497,46.3966,31.2537
20.9866,45.9508,33.0626
21.0806,46.3381,32.5813
25.5239,45.4100,29.0661
19.8721,48.4955,31.6323
21.8326,47.7249,30.4425
